Wed Sep  2 08:27:30 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:27:30 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 13
Wed Sep  2 08:28:01 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:28:01 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:28:32 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:28:32 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:29:03 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:29:03 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:29:34 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:29:34 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:30:05 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:30:05 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:30:05 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 30
Wed Sep  2 08:30:36 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:30:36 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:30:36 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 29
Wed Sep  2 08:31:07 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:31:07 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 10
Wed Sep  2 08:31:07 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 26
Wed Sep  2 08:31:37 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:31:37 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 10
Wed Sep  2 08:31:37 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 24
Wed Sep  2 08:32:09 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:32:09 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 10
Wed Sep  2 08:32:09 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 23
Wed Sep  2 08:32:40 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:32:40 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 11
Wed Sep  2 08:32:40 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 23
Wed Sep  2 08:33:11 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:33:11 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 10
Wed Sep  2 08:33:11 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 23
Wed Sep  2 08:33:42 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:33:42 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 10
Wed Sep  2 08:33:42 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 22
Wed Sep  2 08:34:13 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 6 
Wed Sep  2 08:34:13 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 10
Wed Sep  2 08:34:13 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 22
Wed Sep  2 08:34:44 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 5 
