Wed Sep  2 08:28:09 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:28:09 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:28:40 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:28:40 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:29:11 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:29:11 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:29:41 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:29:41 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:30:12 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:30:12 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:30:43 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:30:43 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:31:13 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:31:13 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:31:44 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:31:44 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:32:15 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:32:15 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:32:46 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:32:46 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:33:16 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:33:16 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:33:47 2020, Wednesday, September 2, 2020, 10:00 AM - 11:00 AM, 1 
Wed Sep  2 08:33:47 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:33:47 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:34:17 2020, Wednesday, September 2, 2020, 10:00 AM - 11:00 AM, 1 
Wed Sep  2 08:34:17 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:34:17 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:34:48 2020, Wednesday, September 2, 2020, 10:00 AM - 11:00 AM, 1 
Wed Sep  2 08:34:48 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
